group,page,path,slot_key,slot_label,type,section,required,baseline_status,priority,recommended_size,recommended_aspect,recommended_format,mobile_safe_area,recommended_use,current_source,current_source_dimensions,alt_snapshot
Shared site,Shared site,@site,site.header.logo,Header / Devil n Dove logo,image,header,Yes,authored_default,Complete/default,1080×1080,1:1,Transparent PNG or WebP,Keep the full mark inside the canvas with about 8% clear padding on every edge.,Brand/logo artwork; preserve transparent background and generous clear space.,/assets/logo-clear.png,1080×1080,Devil n Dove logo
Landing pages,Custom Gifts,/custom-gifts-southern-ontario/,custom-gifts-southern-ontario.background.section-2,Custom Gifts / Related Devil n Dove searches background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Handmade Jewelry,/handmade-jewelry-ontario/,handmade-jewelry-ontario.hero.image,Handmade Jewelry / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/handmade-jewelry-product-mockup.webp,1600×1000,Close representative view of Devil n Dove handmade jewelry
Landing pages,Handmade Jewelry,/handmade-jewelry-ontario/,handmade-jewelry-ontario.image.2,Handmade Jewelry / Close representative view of Devil n Dove handmade jewelry,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/handmade-jewelry-product-mockup.webp,1600×1000,Close representative view of Devil n Dove handmade jewelry
Landing pages,Handmade Jewelry,/handmade-jewelry-ontario/,handmade-jewelry-ontario.section.visual.1,Handmade Jewelry / handmade jewelry Ontario search clarity visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/handmade-jewelry-ontario-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for handmade jewelry Ontario search clarity
Landing pages,Handmade Jewelry,/handmade-jewelry-ontario/,handmade-jewelry-ontario.background.hero,Handmade Jewelry / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Handmade Jewelry,/handmade-jewelry-ontario/,handmade-jewelry-ontario.background.section-1,Handmade Jewelry / handmade jewelry Ontario search clarity background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Handmade Jewelry,/handmade-jewelry-ontario/,handmade-jewelry-ontario.background.section-2,Handmade Jewelry / Related Devil n Dove searches background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Laser Engraving,/laser-engraving-ontario/,laser-engraving-ontario.hero.image,Laser Engraving / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/laser-project-mockup.webp,1600×1000,Representative Devil n Dove laser engraving and finishing process
Landing pages,Laser Engraving,/laser-engraving-ontario/,laser-engraving-ontario.image.2,Laser Engraving / Representative Devil n Dove laser engraving and finishing process,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/laser-project-mockup.webp,1600×1000,Representative Devil n Dove laser engraving and finishing process
Landing pages,Laser Engraving,/laser-engraving-ontario/,laser-engraving-ontario.section.visual.1,Laser Engraving / laser engraved gifts Ontario search clarity visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/laser-engraving-ontario-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for laser engraved gifts Ontario search clarity
Landing pages,Laser Engraving,/laser-engraving-ontario/,laser-engraving-ontario.background.hero,Laser Engraving / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Laser Engraving,/laser-engraving-ontario/,laser-engraving-ontario.background.section-1,Laser Engraving / laser engraved gifts Ontario search clarity background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Laser Engraving,/laser-engraving-ontario/,laser-engraving-ontario.background.section-2,Laser Engraving / Related Devil n Dove searches background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Polymer Clay Earrings,/polymer-clay-earrings-ontario/,polymer-clay-earrings-ontario.hero.image,Polymer Clay Earrings / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/polymer-clay-product-mockup.webp,1600×1000,Representative polymer clay jewelry and earring detail
Landing pages,Polymer Clay Earrings,/polymer-clay-earrings-ontario/,polymer-clay-earrings-ontario.image.2,Polymer Clay Earrings / Representative polymer clay jewelry and earring detail,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/polymer-clay-product-mockup.webp,1600×1000,Representative polymer clay jewelry and earring detail
Landing pages,Polymer Clay Earrings,/polymer-clay-earrings-ontario/,polymer-clay-earrings-ontario.section.visual.1,Polymer Clay Earrings / polymer clay earrings Ontario search clarity visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/polymer-clay-earrings-ontario-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for polymer clay earrings Ontario search clarity
Landing pages,Polymer Clay Earrings,/polymer-clay-earrings-ontario/,polymer-clay-earrings-ontario.background.hero,Polymer Clay Earrings / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Polymer Clay Earrings,/polymer-clay-earrings-ontario/,polymer-clay-earrings-ontario.background.section-1,Polymer Clay Earrings / Polymer clay earring macro photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Polymer Clay Earrings,/polymer-clay-earrings-ontario/,polymer-clay-earrings-ontario.background.section-2,Polymer Clay Earrings / polymer clay earrings Ontario search clarity background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Vintage Finds,/vintage-finds-ontario/,vintage-finds-ontario.hero.image,Vintage Finds / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/vintage-tools-mockup.webp,1600×1000,"Representative vintage tools, materials, and condition details"
Landing pages,Vintage Finds,/vintage-finds-ontario/,vintage-finds-ontario.image.2,"Vintage Finds / Representative vintage tools, materials, and condition details",image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/vintage-tools-mockup.webp,1600×1000,"Representative vintage tools, materials, and condition details"
Landing pages,Vintage Finds,/vintage-finds-ontario/,vintage-finds-ontario.section.visual.1,Vintage Finds / vintage finds Ontario search clarity visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/vintage-finds-ontario-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for vintage finds Ontario search clarity
Landing pages,Vintage Finds,/vintage-finds-ontario/,vintage-finds-ontario.background.hero,Vintage Finds / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Vintage Finds,/vintage-finds-ontario/,vintage-finds-ontario.background.section-1,Vintage Finds / vintage finds Ontario search clarity background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Vintage Finds,/vintage-finds-ontario/,vintage-finds-ontario.background.section-2,Vintage Finds / Related Devil n Dove searches background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Workshop-Made Gifts,/workshop-made-gifts-ontario/,workshop-made-gifts-ontario.hero.image,Workshop-Made Gifts / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/visual-placeholders/product-process.svg,1600×1000 SVG viewBox,Workshop gift process placeholder
Landing pages,Workshop-Made Gifts,/workshop-made-gifts-ontario/,workshop-made-gifts-ontario.image.1,Workshop-Made Gifts / Workshop gift process placeholder,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/visual-placeholders/product-process.svg,1600×1000 SVG viewBox,Workshop gift process placeholder
Landing pages,Workshop-Made Gifts,/workshop-made-gifts-ontario/,workshop-made-gifts-ontario.section.visual.1,Workshop-Made Gifts / workshop-made gifts Southern Ontario search clarity visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/workshop-made-gifts-ontario-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for workshop-made gifts Southern Ontario search clarity
Landing pages,Workshop-Made Gifts,/workshop-made-gifts-ontario/,workshop-made-gifts-ontario.background.hero,Workshop-Made Gifts / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Workshop-Made Gifts,/workshop-made-gifts-ontario/,workshop-made-gifts-ontario.background.section-1,Workshop-Made Gifts / Workshop gift process placeholder background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Landing pages,Workshop-Made Gifts,/workshop-made-gifts-ontario/,workshop-made-gifts-ontario.background.section-2,Workshop-Made Gifts / workshop-made gifts Southern Ontario search clarity background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Workshop Journal Story,/workshop-journal/story/,workshop-journal-story.hero.image,Workshop Journal Story / Hero image,image,banner,Yes,required_replacement,P1 required,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/placeholders/media-content/workshop-journal-story-hero-image.svg,1200×720 SVG viewBox,Workshop Journal Story visual
Stories & guides,Workshop Journal Story,/workshop-journal/story/,workshop-journal-story.background.hero,Workshop Journal Story / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Coin & Spoon Ring Care,/workshop-journal/coin-and-spoon-ring-care/,workshop-journal-coin-and-spoon-ring-care.hero.image,Coin & Spoon Ring Care / Hero image,image,banner,Yes,required_replacement,P1 required,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/placeholders/media-content/workshop-journal-coin-and-spoon-ring-care-hero-image.svg,1200×720 SVG viewBox,Coin & Spoon Ring Care visual
Stories & guides,Coin & Spoon Ring Care,/workshop-journal/coin-and-spoon-ring-care/,workshop-journal-coin-and-spoon-ring-care.section.visual.1,Coin & Spoon Ring Care / Before wearing visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/workshop-journal-coin-and-spoon-ring-care-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Before wearing
Stories & guides,Coin & Spoon Ring Care,/workshop-journal/coin-and-spoon-ring-care/,workshop-journal-coin-and-spoon-ring-care.background.hero,Coin & Spoon Ring Care / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Coin & Spoon Ring Care,/workshop-journal/coin-and-spoon-ring-care/,workshop-journal-coin-and-spoon-ring-care.background.section-1,Coin & Spoon Ring Care / Before wearing background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Coin & Spoon Ring Care,/workshop-journal/coin-and-spoon-ring-care/,workshop-journal-coin-and-spoon-ring-care.background.section-2,Coin & Spoon Ring Care / Fit and adjustment background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Polymer Clay Earring Care,/workshop-journal/polymer-clay-earring-care/,workshop-journal-polymer-clay-earring-care.hero.image,Polymer Clay Earring Care / Hero image,image,banner,Yes,required_replacement,P1 required,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/placeholders/media-content/workshop-journal-polymer-clay-earring-care-hero-image.svg,1200×720 SVG viewBox,Polymer Clay Earring Care visual
Stories & guides,Polymer Clay Earring Care,/workshop-journal/polymer-clay-earring-care/,workshop-journal-polymer-clay-earring-care.section.visual.1,Polymer Clay Earring Care / Wear and storage visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/workshop-journal-polymer-clay-earring-care-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Wear and storage
Stories & guides,Polymer Clay Earring Care,/workshop-journal/polymer-clay-earring-care/,workshop-journal-polymer-clay-earring-care.background.hero,Polymer Clay Earring Care / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Polymer Clay Earring Care,/workshop-journal/polymer-clay-earring-care/,workshop-journal-polymer-clay-earring-care.background.section-1,Polymer Clay Earring Care / Wear and storage background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Polymer Clay Earring Care,/workshop-journal/polymer-clay-earring-care/,workshop-journal-polymer-clay-earring-care.background.section-2,Polymer Clay Earring Care / Cleaning background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Handmade / Vintage / Sourced Guide,/workshop-journal/handmade-vintage-sourced-guide/,workshop-journal-handmade-vintage-sourced-guide.hero.image,Handmade / Vintage / Sourced Guide / Hero image,image,banner,Yes,required_replacement,P1 required,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/placeholders/media-content/workshop-journal-handmade-vintage-sourced-guide-hero-image.svg,1200×720 SVG viewBox,Handmade / Vintage / Sourced Guide visual
Stories & guides,Handmade / Vintage / Sourced Guide,/workshop-journal/handmade-vintage-sourced-guide/,workshop-journal-handmade-vintage-sourced-guide.section.visual.1,Handmade / Vintage / Sourced Guide / Handmade visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/workshop-journal-handmade-vintage-sourced-guide-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for Handmade
Stories & guides,Handmade / Vintage / Sourced Guide,/workshop-journal/handmade-vintage-sourced-guide/,workshop-journal-handmade-vintage-sourced-guide.background.hero,Handmade / Vintage / Sourced Guide / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Handmade / Vintage / Sourced Guide,/workshop-journal/handmade-vintage-sourced-guide/,workshop-journal-handmade-vintage-sourced-guide.background.section-1,Handmade / Vintage / Sourced Guide / Handmade background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Handmade / Vintage / Sourced Guide,/workshop-journal/handmade-vintage-sourced-guide/,workshop-journal-handmade-vintage-sourced-guide.background.section-2,"Handmade / Vintage / Sourced Guide / Vintage, antique, collectible, and sourced background",background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Marketplace Guide,/marketplaces/,marketplaces.hero.image,Marketplace Guide / Hero image,image,banner,Yes,required_replacement,P1 required,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/placeholders/media-content/marketplaces-hero-image.svg,1200×720 SVG viewBox,Marketplace Guide visual
Stories & guides,Marketplace Guide,/marketplaces/,marketplaces.section.visual.1,Marketplace Guide / How to read our listings visual,image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/marketplaces-section-visual-1.svg,1200×720 SVG viewBox,Placeholder for How to read our listings
Stories & guides,Marketplace Guide,/marketplaces/,marketplaces.background.hero,Marketplace Guide / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Marketplace Guide,/marketplaces/,marketplaces.background.section-1,Marketplace Guide / How to read our listings background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Local Pickup,/pickup/,pickup.hero.image,Local Pickup / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/pickup-package-mockup.webp,1600×1000,Representative Devil n Dove order prepared for local pickup
Stories & guides,Local Pickup,/pickup/,pickup.image.2,Local Pickup / Representative Devil n Dove order prepared for local pickup,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/pickup-package-mockup.webp,1600×1000,Representative Devil n Dove order prepared for local pickup
Stories & guides,Local Pickup,/pickup/,pickup.background.hero,Local Pickup / Hero background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Local Pickup,/pickup/,pickup.background.section-1,Local Pickup / Pickup-ready order photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Local Pickup,/pickup/,pickup.background.section-2,Local Pickup / Section background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Stories & guides,Movie Shelf,/movies/,movies.hero.image,Movie Shelf / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/banner-spicing-it-up.webp,1600×914,Devil n Dove banner artwork
Stories & guides,Movie Shelf,/movies/,movies.image.1,Movie Shelf / Devil n Dove banner artwork,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/banner-spicing-it-up.webp,1600×914,Devil n Dove banner artwork
